address,city,latitude,longitude
2448 University Ave,Green Bay,44.51312,-87.96051
111 Commons Dr,Maumelle,34.84808,-92.40624
344 S Service Rd E,Sullivan,38.22303,-91.15696
6490 Memphis Arlington Rd Ste 103,Memphis,35.22655,-89.84786
2124 S 1st St,Yakima,46.57144,-120.48825
482 Branson Landing Blvd Ste 105,Branson,36.65075,-93.22026
406 S Thompson St,Springdale,36.182436,-94.138658
5094 Murfreesboro Rd Ste 1,La Vergne,36.02074,-86.5812
801 S Vaughn Dr,Brusly,30.387691,-91.25265
5100 NC Highway 87 S Ste 102,Fayetteville,34.9297,-78.85668
Co-Op City,Bronx,40.8691,-73.8248
3898 Cleveland Hwy,Dalton,34.89383,-84.94654
1865 Blankenship Rd,West Linn,45.349698,-122.653281
825 W 1100 S,Brigham City,41.48602,-112.02944
955 S Main St,Brigham City,41.49113,-112.01555
875 W 1150 S,Brigham City,41.48561,-112.02934
524 Indian Boundary Rd,Chesterton,41.6165,-87.0439
801 University St,Martin,36.3485,-88.87344
2505 State Rd,La Crosse,43.79609,-91.21769
1610 Sycamore View Rd,Memphis,35.1694,-89.86479
2437 George St,La Crosse,43.85742,-91.23993
813 N Central Ave,Marshfield,44.674233,-90.168369
1101 N Central Ave,Marshfield,44.67742,-90.16521
4601 Northfield Rd,Cleveland,41.433314,-81.523935
1601 W Lincoln Ave,Yakima,46.6039,-120.53093
5706 W 7800 S,West Jordan,40.60985,-112.0266
1014 Highway 82 E,Indianola,33.45785,-90.63563
640 Huebner Rd,Fort Riley,39.0644,-96.79881
1418 W Sunset Blvd,Saint George,37.122977,-113.613499
610 E Saint George Blvd,Saint George,37.109869,-113.570286
4651 W 6th St,Lawrence,38.971514,-95.301449
5540 Old Cheney Rd,Lincoln,40.75546,-96.64543
7501 W 135th St,Overland Park,38.88353,-94.672
4204 Milan Rd,Sandusky,41.41841,-82.67352
6300 Gulf Fwy,La Marque,29.3676,-94.97416
1302 Highway 35 N,Rockport,28.036688,-97.04238
3515 Springdale Rd,Cincinnati,39.25009,-84.59411
7720 Laurel Ave,Cincinnati,39.18985,-84.36207
123 Creekside Xing,New Braunfels,29.7279,-98.07612
793 Roosevelt Trl,Windham,43.83887,-70.44217
14700 E Indiana Ave,Spokane,47.673976,-117.206394
201 Commerce Dr,Jefferson City,38.59259,-92.2254
3124 S Ten Mile Dr,Jefferson City,38.58068,-92.2352
1417 Jackson Ave W,Oxford,34.36729,-89.54978
2984 Upland Pkwy,Sidney,41.138,-102.98557
1002 J St,Auburn,40.39457,-95.83913
191 7th St,Garden City,40.725253,-73.634393
544 Conestoga Pkwy,Shepherdsville,37.9978,-85.70737
101 Smith Rd,Glasgow,37.0082,-85.92208
5212 Jackson St,Alexandria,31.27267,-92.48395
131 S Highway 27,Somerset,37.09224,-84.61883
1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,35.085335,-106.60555
4800 Frederica St,Owensboro,37.723743,-87.123894
300 W Esplanade Ave,Kenner,30.02306,-90.26933
5963 W Main St,Houma,29.63346,-90.75858
7849 Tramway Blvd NE Ste D,Albuquerque,35.17351,-106.49703
400 Clifty Dr,Madison,38.77544,-85.39367
1228 Saint Charles St,Houma,29.58875,-90.74346
725 Sterlington Hwy,Farmerville,32.7715,-92.39699
1088 Westbank Expy,Westwego,29.89708,-90.14081
1000 Government St,Baton Rouge,30.44345,-91.17915
314 E Carpenter St,Cleveland,33.75489,-90.71678
120 S Davis Ave,Cleveland,33.74364,-90.71593
1231 Holcomb Blvd,Camp Lejeune,34.72418,-77.34444
112 E 2nd St,Duluth,46.78937,-92.09841
976 William H Wilson Ave Ste 100,Fort Stewart,31.8613,-81.61078
2910 Lurleen B Wallace Blvd,Northport,33.236442,-87.576869
2441 James St,Coralville,41.68432,-91.60353
602 Highway 31 SW,Hartselle,34.439438,-86.940455
107 Jordan Plz,Elizabeth City,36.29457,-76.23925
905 W Corbett Ave,Swansboro,34.69765,-77.14086
2001 Sutton Ln,Sutton,38.70084,-80.664158
161 Church St,Burlington,44.47568,-73.21264
3716 7th St,Bay City,28.9826,-95.94636
443 Killian Rd,Columbia,34.13885,-80.95378
122 Hayward Ave,Ames,42.02193,-93.65164
1306 Scotland Crossing Dr,Laurinburg,34.760626,-79.487148
1700 Norman Dr Spc 1056,Valdosta,30.84377,-83.32041
502 W Columbia Ave,Batesburg,33.903931,-81.545787
4965 Centre Pointe Dr,North Charleston,32.87129,-80.02056
2441 Northgate St,Ottumwa,41.04905,-92.41165
903 E Milam St,Mexia,31.68468,-96.47389
5131 Government St,Baton Rouge,30.44529,-91.13715
4021 Interstate Highway 69 Access Rd,Corpus Christi,27.85699,-97.63067
839 E Mulberry St,Angleton,29.165887,-95.422475
3900 University Pkwy,Natchitoches,31.75324,-93.10647
1855 Main Ave N,Tillamook,45.486681,-123.845556
400 Downs Blvd Ste 100,Franklin,35.90875,-86.88409
808 E Liberty St,Mexico,39.16989,-91.87478
701 E Main St,Park Hills,37.84401,-90.50351
3039 W Peoria Ave,Phoenix,33.581838,-112.124385
324 W Bypass,Andalusia,31.30789,-86.4999
1411 Q St,Lincoln,40.814503,-96.700905
525 W Crawford St,Clay Center,39.37906,-97.14248
5802 S Broadway Ave,Tyler,32.28572,-95.30372
3112 N Navarro St,Victoria,28.82378,-97.000727
2 N Mineral St,Keyser,39.44023,-78.97744
1845 Fry Rd,Katy,29.79332,-95.71956
100 W Loop 340,Woodway,31.51211,-97.18724
104 E Grant St,Roma,26.40269,-99.01235
441 Craig St,Buffalo,31.45096,-96.07826
2111 Ave F NW US 287,Childress,34.43504,-100.22784
1005 S 14th St,Kingsville,27.50749,-97.85649
4622 S Fort Hood St,Killeen,31.07809,-97.75698
404 N Wood St,Gilmer,32.73227,-94.94278
7104 S Fry Rd,Katy,29.71927,-95.78177
1265 S Wheeler St,Jasper,30.91192,-93.99569
307 E Wise St,Bowie,33.557809,-97.846268
705 N McCoy Blvd,New Boston,33.4717,-94.4091
821 S Sam Houston Blvd,San Benito,26.12559,-97.63723
2652 S Nc 127 Hwy,Hickory,35.69172,-81.35675
1696 N Center St,Lonoke,34.79816,-91.89096
651 Terry Pkwy Ste 101,Gretna,29.90228,-90.03
1449 Papillion Dr,Papillion,41.141563,-96.01308
323 N 114th St,Omaha,41.2606,-96.09081
102 Pavilion Pkwy,Newport,39.09245,-84.4806
998 Nc Highway 150 W A,Greensboro,36.20043,-79.84375
1518 N Ed Carey Dr,Harlingen,26.17221,-97.67362
1501 7th St,Las Vegas,35.60569,-105.22363
1130 Burlington St,Holdrege,40.42485,-99.3797
1630 S Broadway,Minot,48.21665,-101.29666
801 Dakota Ave,Wahpeton,46.26365,-96.61158
223 N Josephine Ave,Madison,44.006216,-97.118242
327 S Canal St,Carlsbad,32.41713,-104.2292
2005 E Madison Ave,Bastrop,32.77873,-91.8896
2000 N Date St,Truth Or Consequences,33.15244,-107.24684
320 NW 2nd St,Madison,44.007172,-97.115957
681 W Bridge St,Owatonna,44.084414,-93.241752
2121 E Grand Ave,Laramie,41.30959,-105.56668
1401 Mill St,Belle Fourche,44.66263,-103.85504
1650 E Bert Kouns Industrial Loop,Shreveport,32.4316,-93.71381
600 N Grand Ave,Tahlequah,35.9196,-94.96673
507 MacArthur Dr,Alexandria,31.29621,-92.478
245 High St,Ellsworth,44.5325,-68.408
259 High St,Ellsworth,44.53099,-68.40688
6001 San Mateo Blvd Ne Ste G1,Albuquerque,35.14515,-106.58797
304 Keyser Ave,Natchitoches,31.75412,-93.08107
192 Water St,Gardiner,44.22938,-69.77157
1306 S Thompson St,Springdale,36.17034,-94.13983
1310 E Main St,Stigler,35.25441,-95.10962
1510 S Mississippi Ave,Atoka,34.3717,-96.13563
207 N Broadway St,Checotah,35.47132,-95.52156
4105 Main St,Springfield,44.04537,-122.96621
499 Canal St,Brattleboro,42.83924,-72.56684
105 Blake Dr,Wagoner,35.96083,-95.39476
5704 Jackson St,Alexandria,31.26788,-92.48741
603 E Main St,Endicott,42.09591,-76.05453
1052 Sagamore Pkwy W,West Lafayette,40.45384,-86.91841
363 Swanton Rd,Saint Albans,44.8396,-73.08202
580 Shelburne Rd Ste 11,Burlington,44.44926,-73.20896
2201 S Park Ave Ste 5,Alexandria,40.24008,-85.66922
25 Berlin St,Montpelier,44.25664,-72.57701
313 2nd St,North Wilkesboro,36.16562,-81.13658
127 North St,Houlton,46.13483,-67.83927
1215 2nd Ave W,Williston,48.1566,-103.6262
7201 Two Notch Rd,Columbia,34.064617,-80.95748
875 4th St SW,Mason City,43.14776,-93.21414
320 11th Street Sw Plz,Spencer,43.12617,-95.15025
120 E Jefferson St,Washington,41.29768,-91.69085
6694 Highway 431 S,Owens Cross Roads,34.657839,-86.483357
2721a Emanuel Church Rd,West Columbia,33.93912,-81.150724
837 W Morton Ave,Jacksonville,39.723201,-90.240464
2013 US Route 20,Seneca Falls,42.9037,-76.8312
2211 W Dekalb St,Camden,34.24907,-80.64598
1400 S Higley Blvd,Rawlins,41.77618,-107.22593
3 Spaulding Ave,Malone,44.84987,-74.28485
80 Clinton Plz,Clinton,40.14714,-88.97722
776 E Main St,Cobleskill,42.67962,-74.47452
1134 Paterson St,Ogdensburg,44.690205,-75.4774
201 Maple City Dr,Monmouth,40.9107,-90.64483
31305 Vine St,Eastlake,41.642781,-81.468481
2118 Missouri Blvd,Jefferson City,38.58174,-92.20713
1212 W Main St,Fairfield,38.37957,-88.37697
2333 Missouri Blvd,Jefferson City,38.58134,-92.21398
550 E Industrial Park Rd,Murphysboro,37.78839,-89.32524
220 S Main St,Atmore,31.02181,-87.49386
1607 S State Route 127,Greenville,38.87866,-89.39077
51-67 E 161st St,Bronx,40.828053,-73.92529
253 W 42nd St,New York,40.757015,-73.98944
4461 Market Commons Dr,Fairfax,38.858362,-77.376969
14493 Gideon Dr,Woodbridge,38.637623,-77.297706
2815 Fern Valley Rd,Louisville,38.1575,-85.7112
2800 Outer Loop,Louisville,38.13627,-85.71168
6501 Paramount Park Dr,Louisville,38.156731,-85.712124
713 McCroskey St,Nixa,37.053586,-93.302767
3409 W Blue Ridge Dr,Greenville,34.852468,-82.451033
6103 White Horse Rd,Greenville,34.853023,-82.452875
2219 Madison Street,Clarksville,36.5098,-87.2763
788 Riverside Drive,Clarksville,36.5401,-87.3663
400 Lovell Rd,Knoxville,35.90428,-84.14246
13433 Leopard St,Corpus Christi,27.856211,-97.629141
208 E Highway 90,Dayton,30.046579,-94.886769
3305 S Campbell Ave Ste E,Springfield,37.15422,-93.29613
1173 Murfreesboro Rd,Nashville,36.1217,-86.7054
2203 E Hubbard St,Mineral Wells,32.8095,-98.0953
2901 Houston Hwy,Victoria,28.8117,-96.9739
6201 W Colonial Drive,Orlando,28.552592,-81.464927
3596 MT Diablo Blvd,Lafayette,37.891487,-122.12335
31707 LA Highway 16,Denham Springs,30.528322,-90.956294
903 S Springfield Ave,Bolivar,37.60553,-93.40686
1875 S Springfield Ave,Bolivar,37.596828,-93.403066
1905 Southwest Blvd,Jefferson City,38.55503,-92.19907
2605 Missouri Blvd,Jefferson City,38.581753,-92.219515
3407 Missouri Blvd,Jefferson City,38.58141,-92.24298
1911 S Springfield Ave,Bolivar,37.596372,-93.402919
5160 Southport Supply Road,Southport,33.9516,-78.0426
421 N 36th St,Quincy,39.93634,-91.35881
501 S 8th St,Rogers,36.32953,-94.12543
2000 S Pleasant St,Springdale,36.167387,-94.143617
311 N Gaskill St,Huntsville,36.08869,-93.74247
401 S Thompson St,Springdale,36.1825,-94.138655
1260 E Robinson Ave,Springdale,36.16732,-94.11799
1300 S Thompson St,Springdale,36.17076,-94.13973
1407 Main St,Keokuk,40.40352,-91.39082
1421 Avenue H,Fort Madison,40.63043,-91.32385
1029 S Range Line Rd,Joplin,37.079654,-94.477436
18710 S Dixie Hwy,Miami,25.594612,-80.356141
709 N Jefferson St,Saint James,38.003166,-91.61875
9601 Jefferson Hwy,New Orleans,29.956277,-90.217056
368 S Gloster St,Tupelo,34.252985,-88.716015
840 W Main St,Tupelo,34.25764,-88.71664
207 Highway 15 N,Pontotoc,34.257816,-89.018178
1130 Murfreesboro Rd,Franklin,35.915443,-86.833983
116 Highway 15 N,Pontotoc,34.25054,-89.01787
1221 S Gloster St,Tupelo,34.2297,-88.7196
11292 Old 63 S,Lucedale,30.733883,-88.4936
2395 Pass Rd,Biloxi,30.40158,-88.97576
309 S Pearson Rd.,Pearl,32.26905,-90.13568
4337 Robinson St,Jackson,32.300625709,-90.258128236
4725 Clinton Blvd,Jackson,32.328147485,-90.251587368
605 W US Highway 18,Garner,43.10586,-93.607445
202 11th Street Sw Plz,Spencer,43.12581,-95.14723
1705 W Burlington Ave,Fairfield,41.00652,-91.98436
3022 5th Ave S,Fort Dodge,42.50182,-94.15404
2313 5th Ave S,Fort Dodge,42.50071,-94.16583
2509 5th Ave S,Fort Dodge,42.5011,-94.16261
1755 John F Kennedy Rd,Dubuque,42.502143,-90.72184
1255 E 16th St,Dubuque,42.5121,-90.6552
6466 Poplar Ave,Memphis,35.099798,-89.848067
2209 Circle Dr W,Spirit Lake,43.42173,-95.12424
815 West Second Street,Tifton,31.458252,-83.526697
810 2nd St W,Tifton,31.4575,-83.52582
303 S Magnolia Street,Tifton,31.451335,-83.524973
420 Rhomberg Ave,Dubuque,42.512515,-90.666233
620 Iowa St,Dubuque,42.499766,-90.665046
2196 University Ave,Dubuque,42.49936,-90.69409
614 S Highland St,Memphis,35.11467,-89.94567
108 E Brazell Street,Reidsville,32.0872,-82.1169
6804 Casino Strip Resort Blvd,Robinsonville,34.819435,-90.315636
2515 Main St,Cedar Falls,42.51433,-92.44636
1203 4th Stsw,Waverly,42.71363,-92.47495
610 W 1st St,Cedar Falls,42.537782,-92.452172
70 Goodman Road,Southaven,34.963048,-89.991071
1330 Poplar Ave,Memphis,35.14451,-90.0163
6428 E Shelby Dr,Memphis,35.020951,-89.849198
3675 Lamar Ave,Memphis,35.06408,-89.9415
3591 Lamar Ave,Memphis,35.068122,-89.944386
2090 Union Ave,Memphis,35.13482,-89.99183
1130 N Quincy Ave,Ottumwa,41.017663,-92.437886
1122 N Quincy Ave,Ottumwa,41.016358,-92.438456
2804 Grand Ave,Billings,45.78377,-108.58727
904 Main St Ste 1,Billings,45.81531,-108.4716
608 Wyoming Ave,Creston,41.051853,-94.367339
915 Short St,Decorah,43.29087,-91.79683
915 Short St,Decorah,43.2915,-91.7971
506 S Main St,Swainsboro,32.584458,-82.321669
302 S Main St,Swainsboro,32.5931,-82.3314
501 S Main St,Swainsboro,32.58476,-82.321876
413 S Main St,Swainsboro,32.58951,-82.32731
115 S Roosevelt Ave,Burlington,40.810887,-91.141513
405 S Roosevelt Ave,Burlington,40.807291,-91.142192
830 N 2nd St,Clinton,41.85268,-90.18691
729 N 2nd St,Clinton,41.85137,-90.18702
825 N 2nd St,Clinton,41.852665,-90.186586
1804 Lincoln Way,Clinton,41.816011,-90.229246
427 E 6th St,Carroll,42.06454,-94.86163
912 W Highway 30 St,Carroll,42.0715,-94.8767
1515 Plaza Drive,Carroll,42.065153,-94.843281
915 W US Highway 30,Carroll,42.07128,-94.87785
605 Flindt Dr,Storm Lake,42.645464,-95.188684
613 Flindt Dr,Storm Lake,42.6453,-95.1881
1300 Lake Ave,Storm Lake,42.655465,-95.20075
2401 4th St SW,Mason City,43.147806,-93.236725
515 S Delaware Ave,Mason City,43.147024,-93.19974
2310 4th St SW,Mason City,43.148534,-93.235558
1102 Highway 72 E,Corinth,34.91913,-88.51157
705 1st Ave E,Newton,41.699413,-93.04532
317 W 6th St Ste 105-106,Moscow,46.72966,-117.00437
120 Boone Heights Dr,Boone,36.201496,-81.656779
525 W King St,Boone,36.21992,-81.68616
1778 Blowing Rock Rd,Boone,36.19887,-81.65861
3100 Foothills Ave,Mountain Home,43.14158,-115.66251
2910 American Legion Blvd,Mountain Home,43.136722,-115.665115
2840 American Legion Blvd,Mountain Home,43.1371,-115.66442
946 Carolina Ave,Washington,35.555,-77.0592
1212 N Main Ave,Sioux Center,43.09082,-96.17456
869 Pole Line Rd,Twin Falls,42.59206,-114.45867
1733 Addison Ave E,Twin Falls,42.56322,-114.45229
305 Blue Lakes Blvd N,Twin Falls,42.56708,-114.46094
200 1st St W,Independence,42.468862,-91.895944
1811 1st St W,Independence,42.46783,-91.91736
215 Wb McLean Dr,Swansboro,34.69101,-77.06811
1243 Parkway Drive,Blackfoot,43.196641,-112.35846
1205 Parkway Dr,Blackfoot,43.19695,-112.35766
1115 New Pointe Blvd,Leland,34.2126,-78.0233
700 N Webster St,Taylorville,39.55646,-89.29686
610 N Webster St,Taylorville,39.555018,-89.297434
510 N Webster St,Taylorville,39.5542,-89.297
805 S Kalamazoo St,Paw Paw,42.211187,-85.890822
2707 Trademark Rd,Wilmington,34.264065,-77.852936
805 S College Rd,Wilmington,34.22091,-77.88306
2050 N State Road 50,Bourbonnais,41.188,-87.8501
418 Roland Ave,Holly Ridge,34.427555,-77.546369
220 Lake Park Blvd,Carolina Beach,34.0313,-77.89517
109 Village Road,Leland,34.233062,-77.996404
104 Village Rd NE,Leland,34.2339,-77.996
901 North Grand,Springfield,39.8167,-89.6428
107 Ariel Circle,Osceola,41.025382,-93.796834
910 Cedar St,Tipton,41.77486,-91.12799
601 Cedar St,Tipton,41.769334,-91.128399
2883 S Carolina 160,Fort Mill,35.0603,-80.9922
510 Rigby Lake Dr,Rigby,43.6813,-111.9088
2740 South Hitt Road,Idaho Falls,43.472946,-111.985083
424 S Woodruff Ave,Idaho Falls,43.49399,-111.99958
123 S 4th Ave,Pocatello,42.86532,-112.44441
625 S 5th Ave,Pocatello,42.86235,-112.43917
1544 Pocatello Creek Rd,Pocatello,42.89864,-112.43338
791 Yellowstone Ave,Pocatello,42.88932,-112.45208
929 Yellowstone Ave,Pocatello,42.891976,-112.451452
1735 E Vienna St,Anna,37.462935,-89.22777
140 E Vienna St,Anna,37.459786,-89.245351
1195 E Vienna Street,Anna,37.462324,-89.23027
568 N 2nd E,Rexburg,43.835842,-111.77808
545 N 2nd E,Rexburg,43.83563,-111.77808
461 N 2nd E,Rexburg,43.835073,-111.778081
175 Valley River Dr,Rexburg,43.83369,-111.77853
346 N 2nd E,Rexburg,43.83341,-111.77794
478 N 2nd E,Rexburg,43.83616,-111.77758
210 N 1st Ave,Canton,40.55842,-90.03364
638 N Main St,Canton,40.563491,-90.035021
810 E Broadway,Centralia,38.52638,-89.12477
600 S Newport Rd,Pontiac,40.87296,-88.66152
1600 W Reynolds St,Pontiac,40.87297,-88.65759
1396 E Main St,Carbondale,37.73535,-89.18663
4601 Broadway St,Mount Vernon,38.313427,-88.945891
1700 S 10th St,Mount Vernon,38.30087,-88.903
3120 James Sanders Blvd,Paducah,37.079123,-88.683966
1440 Columbus St,Ottawa,41.354618,-88.8412
5139 Hinkleville Rd,Paducah,37.07607,-88.68939
885 E Il Route 38,Rochelle,41.93507,-89.03496
328 E Morton Ave,Jacksonville,39.723221,-90.225307
905 W Morton Ave,Jacksonville,39.72263,-90.24358
1690 E Jackson St Ste F,Macomb,40.45991,-90.64454
109 S Gilbert St,Danville,40.119324,-87.636202
15 W Fairchild St,Danville,40.138555,-87.630379
306 S Gilbert St,Danville,40.116181,-87.636225
2565 Hart St,Vincennes,38.65964,-87.50887
639 N 13th St,Decatur,40.834574,-84.937724
1312 S 13th St,Decatur,40.81476,-84.938277
946 W Washington St,Pittsfield,39.606653,-90.82158
705 W 7th St,Auburn,41.366782,-85.065641
450 W North St,Kendallville,41.452697,-85.273445
120 W North St,Kendallville,41.452288,-85.267806
618 Fairview Blvd,Kendallville,41.45062,-85.24563
211 W North St,Kendallville,41.452289,-85.268745
241 W US Highway 6,Ligonier,41.412,-85.5717
337 W Plaza Dr,Columbia City,41.169649,-85.493215
9 Corvette Dr,Litchfield,39.17805,-89.67558
1502 W McClain Ave,Scottsburg,38.6854,-85.7915
1205 W Weir St,Litchfield,39.178908,-89.667812
2 Ohren Dr,Litchfield,39.17838,-89.66894
1201 W Weir St,Litchfield,39.179074,-89.66839
1 Corvette Dr,Litchfield,39.175855,-89.675151
2 Corvette Dr,Litchfield,39.17591,-89.675037
105 E Trefz Dr,Marshall,39.41753,-87.69207
1069 Sagamore Pkwy W,West Lafayette,40.45299,-86.92139
3416 16th St,Bedford,38.860945,-86.517296
3216 29th St,Bedford,38.84594,-86.51478
1804 N Wayne St,Angola,41.65625,-84.99869
2601 16th St 270,Bedford,38.86139,-86.50716
613 Sagamore Pkwy W,West Lafayette,40.45282,-86.91764
124 E State St,West Lafayette,40.422445,-86.905196
409 N 13th St,Decatur,40.832525,-84.937673
410 N 13th St,Decatur,40.832543,-84.937674
334 N 13th St,Decatur,40.831361,-84.937642
1120 W 7th St,Auburn,41.366735,-85.069754
111 Touring Dr,Auburn,41.36617,-85.078917
1126 W 7th St,Auburn,41.367208,-85.07851
1105 W 7th St,Auburn,41.36617,-85.07562
1801 N Broadway St,Greensburg,39.35524,-85.48443
1918 N Lincoln St,Greensburg,39.35504,-85.4791
1903 N Lincoln St,Greensburg,39.354294,-85.479835
1005 N Baldwin Ave,Marion,40.56957,-85.6764
1915 N Lincoln St,Greensburg,39.35539,-85.48033
2015 N State Road 3 Byp,Greensburg,39.35639,-85.48142
223 E Mcgalliard Rd,Muncie,40.219001,-85.385252
1725 W Mcgalliard Rd,Muncie,40.21857,-85.40705
3301 N Chadam Ln,Muncie,40.21853,-85.430862
601 S Tillotson Ave,Muncie,40.18924,-85.4195
511 W McGalliard Rd,Muncie,40.2184,-85.39187
3413 S Main St,Elkhart,41.649018,-85.93835
416 N Michigan St,South Bend,41.68069,-86.250378
652 Spruce St,Dowagiac,41.984592,-86.12269
1595 S Memorial Dr,New Castle,39.9171,-85.384
9229 W County Road 650 S,Knightstown,39.842311,-85.558075
1400 North Market Street,Sparta,38.140063,-89.702961
1515 E National Hwy,Washington,38.65292,-87.1564
210 E National Hwy,Washington,38.652427,-87.173223
1447 E National Hwy,Washington,38.6525,-87.159
129 S Memorial Dr,New Castle,39.9293,-85.3822
1906 N Walnut St,Hartford City,40.46702,-85.36996
1903 N Walnut St,Hartford City,40.474987,-85.370014
2003 N Walnut St,Hartford City,40.46784,-85.37071
450 S US Highway 231,Jasper,38.39,-86.94046
762 W 2nd St,Jasper,38.388536,-86.94134
4130 N Newton St,Jasper,38.429209,-86.937962
3592 Newton St,Jasper,38.42206,-86.93746
3739 Newton St,Jasper,38.4243,-86.9384
3565 Newton St,Jasper,38.421469,-86.937959
1209 N Main St,Huntingburg,38.30632,-86.955407
1328 South Heaton,Knox,41.285035,-86.621124
806 S Heaton St,Knox,41.28997,-86.620692
1411 S Heaton St,Knox,41.283913,-86.620656
515 E Alto Rd,Kokomo,40.440727,-86.125661
103 Frontage Rd,Huntington,40.899199,-85.510062
2702 Guilford St,Huntington,40.89996,-85.50649
2810 N Jefferson St,Huntington,40.89861,-85.512132
2840 N Jefferson St,Huntington,40.8993,-85.5128
1726 National Rd W,Richmond,39.82504,-84.92668
1725 E Main St,Richmond,39.829752,-84.878772
400 Commerce Rd,Richmond,39.832972,-84.823831
744 Clifty Dr,Madison,38.77471,-85.402911
102 Franks Dr,Madison,38.775923,-85.386949
401 Clifty Dr,Madison,38.77444,-85.39452
1221 Clifty Dr,Madison,38.771439,-85.414048
2111 Lafayette Ave,Terre Haute,39.507388,-87.386481
1250 N National Rd,Columbus,39.21091,-85.87885
2102 Franklin St,Michigan City,41.70429,-86.894904
2404 E Michigan Blvd,Michigan City,41.708991,-86.870692
4359 Franklin St,Michigan City,41.67418,-86.89441
701 Veterans Ave,Vandalia,38.97776,-89.09886
821 Veterans Ave,Vandalia,38.9773,-89.1008
2737 Veterans Ave,Vandalia,38.969,-89.1294
820 Veterans Ave,Vandalia,38.97671,-89.10115
2080 North State Road 3,North Vernon,39.015661,-85.639238
2750 Frederica St,Owensboro,37.74894,-87.11394
4614 Frederica St,Owensboro,37.725335,-87.124052
16 E Germantown Pike,Norristown,40.14046,-75.31142
4263 Keaton Crossing Blvd,O Fallon,38.750336,-90.739075
